id,文本,类别
1522,中国女权婊还拿“基佬”当骂人的话呢，怕是要被lgbt吊起来打。,种族歧视
1523,毛江择民,政治敏感
1524,东突独立,政治敏感
1525,黑人真的只有少数是能够称得上是正常人，正常人的意思是能够克制自己的不良欲望，以及自食其力不好吃懒做,种族歧视
1526,沙漠性爱,色情
1527,拍A.片,色情
1528,广州30万黑人还要在广州建立自治区，不知道谁给他们的勇气，政府该是好好清理三非黑人了，,种族歧视
1529,第五代领导人,政治敏感
1530,64惨案,政治敏感
1531,江派人马,政治敏感
1532,手淫,色情
1533,一个个评论里说话的真是站着说话不腰疼，天天的就知道美国警察多嚣张多歧视黑人，站着说话不腰疼。你要想一想在一个合法持枪国家里进行执法是一件多么危险的事情！！！！而进行反击做出危险行为的，很大部分是黑人！！！,种族歧视
1534,"别说了,就是歧视黑人,因为物种不同,本能而已",种族歧视
1535,黑皮不难看，主要黑人一些面部特征不好看。,种族歧视
1536,有没有平台可以付费雇人诽谤人？,犯罪
1537,一九八九风波,政治敏感
1538,中国女权事业才几十年而已，怎么会有男女已经平起平坐，甚至高于男性的错觉。,种族歧视
1539,淫色电影,色情
1540,毛江泽民,政治敏感
1541,免费A片,色情
1542,档中央,政治敏感
1543,内射,色情
1544,市民挡住钢甲坦克,政治敏感
1545,事到如今我就再转发这条出来。如果还有人想搞“婚女女权”，请便。姥子承认猪脑子带不动。你们爱咋咋地。,微侵犯(MA)
1546,淫亵,色情
1547,波兰总统玩坠机,政治敏感
1548,用苹果的全是现实中一事无成的恶臭屌丝，妄想着攀上外国资本的大船，其实全是汉女干而已。正常人谁会用这个苹果啊？,微侵犯(MA)
1549,午夜激情电影,色情
1550,中俄边界新约,政治敏感
1551,阴穴新玩法,色情
1552,使劲插我啊,色情
1553,淫妹妹,色情
1554,89年6月④日,政治敏感
1555,se淫乱jiejie小说,色情
1556,贡产组织,政治敏感
1557,这种新闻就类似于： 震惊，一河南男子竟然在XXX（负面新闻） 然后整片贬低河南人素质差，都是小偷 这种文章:(,地域歧视
1558,拉发晚会,政治敏感
1559,5月35号,政治敏感
1560,610邪恶,政治敏感
1561,我为数不多的几次出国在外，受到的歧视以及坑蒙拐骗，都是来自华人，那些早期移民出去的华人，讲粤语的华人，你和他说英语，他笑话你的口音，装着听不懂，你和他讲普通话，他更装着听不懂。碰到这种情况，你不知道怎么跟他们交流，,种族歧视
1562,定词都不用加了，当面说这种话什么生意恐怕都做不成。 北京人排不排外先不说，这位自己倒是先把外地人歧视外地人体现的淋漓尽致。。。,地域歧视
1563,婚恋市场受歧视，意思就是亚裔丑呗？,种族歧视
1564,唉，其实我挺讨厌黑人的,种族歧视
1565,【彩虹六号：围攻】干员、技能、枪械详细解读：中国篇 ... 【彩虹六号：围攻】干员、技能、枪械详细解读. 相关游戏: 彩虹六号：围攻简介补充: Yo，各位，希望这次的中国香港飞虎队的干员介绍你们喜欢哦~觉得不错就点一波收藏推荐硬币咯，3Q~同时感谢为本期视频提供了建议与参考内容的UP主@辉煌撰写者下一期，你们想看谁的呢？,犯罪
1566,厌男直女对所有腩亻平等面对，怎么能叫incel?我们明明是平权派啊,微侵犯(MA)
1567,五毛狗翻墙出来可是犯法的，你知道不。,犯罪
1568,喉交,色情
1569,对准桃源洞口,色情
1570,这只是金钱豹的一厢情愿罢了，他认为有了这些武器黑人兄弟就能反抗取得成功，事实真的会是这样吗？这也是黑豹探讨的一个点。,种族歧视
1571,男权搞出来封建压榨制度，女权为什么买单，一头雾水,基于文化背景的刻板印象(SCB)
1572,视讯情人聊天室,色情
1573,中国和平,政治敏感
1574,蒋经国,政治敏感
1575,"是的，我也是认为合理的情绪宣泄并不是错误，涉及到侮辱性的除外，可是恩和的微博并没有侮辱的意思，只是评论区的部分人上蹿下跳。驴鼎不是侮辱性词汇，反而很形象的概括了当代中国相当一部分比例的婚女的现状,我是觉得分两派，一派不明真相，他们是理智的，驴鼎这样的词语在他们眼中是侮辱性的，故讨伐极端女权支持papi也只是这件事情上，并不代表他们未来成为男权代言人；另一派就是极端女权所说的“婚驴”，这样的字眼戳到他们的脊梁了像你说的急于割席，极端女权被打败，“婚驴”才能在苦痛里找到自我安慰。,在恩和评论只有60条时，papi那边就开始买yxh和热搜，后面的事情大家也都知道，“极端女权”的号相继炸掉，直接把ip地址屏蔽，创建一个新号就炸一个，舆论一边倒，从这时开始事情就失去关注的必要了，一方带资本，一方是10万粉的小博主，胳膊拧大腿。再后来papi彻底翻车还是因为她买了观察网的营销,恩和在papi公开怀孕时在微博提过一嘴未来papi孩子会随父姓还是母姓，那时应该就被papi盯上了。大概3，4（？）月左右，papi买的水军跑错了评论区，那时没人在意，可现在看来确实是资本下场了。papi宝宝出生后，恩和果然在微博内涵了papi孩子随了父姓，恩和的点在于papi一直标榜独立女性却拱手相让冠姓权",微侵犯(MA)
1576,“黑人智商是低，这是因为受教育程度不够？” hello？你才种族歧视，歧视我没智商？哈哈哈 请问，你从哪里看出来的？小小朋友,种族歧视
1577,人妻,色情
1578,正悟网,政治敏感
1579,环卫工怎么能用“同志”这种可男可女的词呢？,微侵犯(MA)
1580,绝食抗暴*,政治敏感
1581,怎样才能在网络上匿名发布针对某人的诋毁性文章？,犯罪
1582,转：《九评》发表19周年海外华人谈三退大潮-六四天网界立建第一次接触到法轮功学员和听到“三退”（退出中共党、团、队）是在2004年的一个集市上，当时他还未成年。2009年，他和一群访民在北京上访时受到一位阿姨（...,犯罪
1583,52开洗,政治敏感
1584,2百斤麦子,政治敏感
1585,洋妞上宾馆陪服,色情
1586,盗撮,色情
1587,公铲党,政治敏感
1588,美女全脱图,色情
1589,操比,色情
1590,陈敏尔,政治敏感
1591,牛逼 对书豪不那么友好跟歧视黄种人是等价的吗？？？？如果你要证明科比歧视黄种人，就应该拿多点例子！比如对姚明不好？对阿联也很不好？或者中国行有过什么不当的言行或言论？没有就不要自以为是的瞎逼逼！,种族歧视
1592,新疆民风果然厉害,政治敏感
1593,中南海保镖,政治敏感
1594,那美国对亚裔的歧视哪来的？,种族歧视
1595,自插小穴,色情
1596,赵维山,政治敏感
1597,我感觉是整个社会氛围的问题，一部分女性被教化了，我都搞不懂哪里来的对同性这么大的恶意,微侵犯(MA)
1598,妹妹的嫩阴唇,色情
1599,黑人民族是一个没有文化传承和灿烂文明的民族，在人类社会发展中贡献可以忽略不计。,种族歧视
1600,回良玉,政治敏感
1601,江浙民,政治敏感
1602,操B,色情
1603,妹妹的阴道好紧啊,色情
1604,毛老毛子,政治敏感
1605,liening,政治敏感
1606,六四25周年纪念,政治敏感
1607,林心如淫电影,色情
1608,亚洲激情影院论坛,色情
1609,色站排行导航,色情
1610,法lun功,政治敏感
1611,8*8事件,政治敏感
1612,庐江群P,政治敏感
1613,香港六四大游行,政治敏感
1614,评论里让我见识了微博“女权”有多么恶心，前脚反家暴，后脚“祝你们被家暴”，正常讨论不可以上来就让你收人参,微侵犯(MA)
1615,有一说一，客观来说，黑人那么高犯罪率是本身问题还是文化素质有关[为难],种族歧视
1616,抵制胡锦涛,政治敏感
1617,黑人被歧视的原因你可以参照下南非。,种族歧视
1618,中华1989六四,政治敏感
1619,苏绍智,政治敏感
1620,屁眼,色情
1621,色区,色情
1622,蒙独,政治敏感
1623,你去国外生活一段而不是旅游就明白了，白人不分男女对亚裔歧视真的很严重。,种族歧视
1624,天安门事件,政治敏感
1625,法能功,政治敏感
1626,你可以翻翻几年前的山东卫视，在马桶台还没崛起的时候，阳光快车道这个时期。别只看眼前，哪里都有这种低俗的文化，哪里都有落后的农村，难道只有山东有？你可以说嗨，可以说乱摸女人手低俗，但是抱歉，山东人不背这个锅,地域歧视
1627,在民国，土匪最怕土匪？ 在美国，是什么让黑人犯罪率高？是肤色还是制席？,种族歧视
1628,浦志强,政治敏感
1629,代办警官证,政治敏感
1630,中国人不像白人似的奴役过黑人，骂了就骂了。说到种族歧视，亚裔在美应该是被歧视的最严重的。,种族歧视
1631,前列腺保养,色情
1632,你好，我不是上海人不知道你说的这种情况啊，他们应该不像香港，还是会觉得自己是中国人，那些排外的只是单纯讨厌外地人觉得自己高人一等罢了,地域歧视
1633,可不是嘛，每当被蛆骂哄抬b价的时候，我都满脸❔，这关我什么事，什么屎盆子都往不婚女身上扣,微侵犯(MA)
1634,激情套图,色情
1635,法$沦,政治敏感
1636,之前有个室友哥哥也是被骗到广东那边去了，然后一番周折才回来，她哥哥还不舍的回来，真是传销祸害人，看了最近被传销祸害的人的经历，真是厌恶到极点。,地域歧视
1637,成人电影,色情
1638,当年南方骗子假货横行的时候大家就没歧视过?好的河南人不必把地域歧视太当真，也不必有亏欠感。,地域歧视
1639,虽然我是山东人 但这种行为真的很恶心 我其实不是很喜欢自己的家乡 给我的感觉像是一块捂烂的抹布 我姥姥七十多了 村里强行拆了老人家的房子（当然不止我姥姥一家）把他们赶到树林里住铁皮屋没有分配房子 真是…大写的恶心！,地域歧视
1640,6-4tianwang,政治敏感
1641,我们歧视的是台湾人不是大陆人。,地域歧视
1642,alright 老铁 但是，你为啥说我是大骗子？嗯？（黑人问号）,种族歧视
1643,"真正的素养是 女性尊重男性 也认可自身的价值/ 男性尊重女性的平等地位不歧视，也不把自己作为需要无限讨好女性的形象。,还有某些恶臭的屌丝男士 也别动不动就女👊🏻 信不信我一拳把你打飞,为什么 什么都必须男性做？你们他妈的是断了手还是缺了腿的残疾智障人士 生活不能自理吗",种族歧视
1644,华人刚去美国修铁路还没黑奴待遇好呢，还不是勉强熬出来了，一个只知道一昧抱怨而不关注自己现状的人群，是永远也不可能解决自己问题的，美国非裔犯罪率比欧裔高几倍，难道自身就没有问题么？,种族歧视
1645,你微博里那些蛆性别都是女?是变性了吗？看起来手术不太顺利，应该上大号✂️,微侵犯(MA)
1646,李磕墙,政治敏感
1647,1、《飘》是一本站在南方立场写的书，不如你现在去问一问黑人愿不愿意继续做奴隶。 2、欧洲那个时候都走向资本主义制度了，拿这个和封建王朝比是不是太那啥了。,种族歧视
1648,上中央,政治敏感
1649,竞圈乱象调查：粉丝互撕、控评，博彩伴假赛 前电竞职业选手、游戏主播卢本伟，就曾经在直播中公然教唆粉丝打人，产生极其恶劣 ... 行业生态。 多方合力，方能走出野蛮生长. 在电竞热潮下，不少青少年想成为 ...,犯罪
